"f_RT","f_Hu","h_RT","h_Hu","n_RT","n_Hu","s_RT","s_Hu","p_RT","p_Hu","VP","PH","PSW","PSS","PSS_squared","PSS1:1","PSS2:1","PSS3:1","PSS4:1","PSS5:1","PSS6:1","PSS7:1","PSS8:1","PSS9:1","PSS10:1","Confound_h_p","Confound_h_n","Confound_h_s","Confound_h_f","Confound_f_p","Confound_f_n","Confound_f_s","Confound_f_h","Confound_p_f","Confound_p_n","Confound_p_s","Confound_p_h","Confound_s_f","Confound_s_n","Confound_s_p","Confound_s_h","Confound_n_f","Confound_n_s","Confound_n_p","Confound_n_h","h_Hu_arcs","p_Hu_arcs","n_Hu_arcs","s_Hu_arcs","f_Hu_arcs","mean_Hu","gender","sex","age","Stress_Terzil","exp","catchtrials_corr"
1480.428571428571,1.0,2160.6,0.7363636363636363,1178.375,1.0,952.4,1.0,1906.1,0.7111111111111111,22,18,9,27,729,2,3,4,2,2,3,2,3,3,3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031589733535445,1.00334585151606,1.570796326794897,1.570796326794897,1.570796326794897,0.8894949494949496,"w",1,31,"3=high","wot",80.0
801.6666666666666,0.253968253968254,665.0,0.7111111111111111,416.7,0.9090909090909091,501.8888888888889,0.494949494949495,400.25,0.5208333333333334,23,9,4,13,169,1,2,2,1,1,2,1,1,1,1,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.0,0.125,0.0,0.0,0.25,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00334585151606,0.8062375296087373,1.264518957625227,0.7803475724588205,0.528168925616855,0.5779906204906206,"m",2,26,"1=low","wot",100.0
2003.111111111111,0.7777777777777778,1336.777777777778,0.6428571428571429,1149.111111111111,1.0,1230.555555555556,0.8181818181818182,1384.5,0.5,24,17,8,25,625,1,3,2,2,2,3,2,2,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9302740141154722,0.7853981633974484,1.570796326794897,1.130285663790198,1.079913648505585,0.7477633477633477,"w",1,40,"3=high","wot",100.0
1097.222222222222,0.7901234567901234,2044.111111111111,0.3555555555555556,586.4444444444445,1.0,754.1,0.8333333333333334,1468.375,0.3125,25,16,8,24,576,2,3,3,2,2,2,2,2,3,3,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6388651442354112,0.5931997761496288,1.570796326794897,1.150261991510932,1.09491407713448,0.6583024691358025,"w",1,26,"3=high","wot",100.0
592.7,0.9090909090909091,1098.3,0.45,522.125,1.0,1318.3,0.81,1074.5,0.5,26,6,1,7,49,0,4,0,0,0,1,1,0,0,1,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7353144528166684,0.7853981633974484,1.570796326794897,1.119769514998634,1.264518957625227,0.7338181818181818,"m",2,31,"1=low","wot",100.0
757.5,0.8,766.7777777777778,0.253968253968254,366.625,0.8888888888888888,523.25,0.6805555555555556,506.4,0.4083333333333333,27,8,5,13,169,1,1,1,1,1,3,2,1,2,0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.528168925616855,0.6932100678794657,1.230959417340775,0.9701277283473332,1.10714871779409,0.6063492063492063,"m",2,33,"1=low","wot",100.0
1874.222222222222,0.6805555555555556,2688.5,0.7272727272727273,713.9,1.0,1054.777777777778,0.7111111111111111,1581.3,0.7,28,6,4,10,100,1,1,2,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.3,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.021329082037269,0.9911565864311923,1.570796326794897,1.00334585151606,0.9701277283473332,0.7637878787878787,"m",2,40,"1=low","wot",100.0
1870.375,0.375,869.125,0.390625,597.6666666666666,0.75,538.7,1.0,1166.4,0.4083333333333333,29,11,4,15,225,2,1,3,0,2,2,1,1,2,1,0.375,0.0,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6751315329370317,0.6932100678794657,1.047197551196598,1.570796326794897,0.6590580358264089,0.5847916666666666,"w",1,22,"2=medium","wot",100.0
990.7,0.6125,632.3333333333334,0.5208333333333334,465.6666666666667,1.0,504.6,0.8333333333333334,705.1,0.45,30,6,5,11,121,1,1,2,1,1,1,2,1,1,0,0.1666666666666667,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8062375296087373,0.7353144528166684,1.570796326794897,1.150261991510932,0.8988696814867083,0.6833333333333333,"m",2,25,"1=low","wot",100.0
1258.888888888889,0.8888888888888888,1067.2,0.675,446.1428571428572,1.0,674.0,0.9090909090909091,516.1111111111111,0.5714285714285714,31,11,7,18,324,1,3,3,2,2,2,1,2,1,1,0.1,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9641837152202035,0.8570719478501309,1.570796326794897,1.264518957625227,1.230959417340775,0.8088816738816739,"w",1,26,"2=medium","wot",100.0
447.9,0.6,421.375,0.390625,217.0,0.7363636363636363,627.9,0.5333333333333333,289.4285714285714,0.4464285714285715,32,8,5,13,169,1,0,2,0,2,2,2,1,2,1,0.375,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.6751315329370317,0.731723705346514,1.031589733535445,0.8187562376025609,0.8860771237926137,0.5413501082251082,"m",2,27,"1=low","wot",100.0
